"","vimp.df.order..vimp.df...."
"Command_Timeout_min",5263.16948364207
"Command_Timeout_mean",3503.13919780236
"Command_Timeout_rms",2655.01485263306
"smart_192_raw_min",2604.78800495153
"Command_Timeout",2463.77742820421
"Command_Timeout_max",2291.29046540449
"smart_192_raw",1947.11512020473
"smart_241_raw_min",1499.42572876149
"smart_192_raw_max",1278.42539413324
"smart_192_raw_mean",1128.46729894699
"smart_192_raw_rms",1031.14340441726
"smart_241_raw_rms",973.715402549844
"smart_241_raw_mean",938.325884457891
"smart_241_raw",911.279478475388
"smart_189_raw_max",797.437032345434
"smart_241_raw_max",699.820087544928
"smart_189_raw_mean",694.565070171725
"smart_189_raw_min",601.340898679701
"smart_189_raw_rms",587.79281467271
"smart_189_raw",500.096885774153
"Days_In_Service_min",482.994348064732
"Days_In_Service_norm",443.547034654721
"Days_In_Service_norm_min",408.075816426374
"Days_In_Service",396.938323045715
"Days_In_Service_norm_max",377.920188879362
"Days_In_Service_rms",371.293160562476
"Days_In_Service_max",331.045816099409
"Days_In_Service_mean",316.488659378341
"Days_In_Service_norm_mean",313.488198070381
"Days_In_Service_norm_rms",305.00706862237
"smart_194_raw_min",262.384316221418
"smart_193_raw_min",239.538100725376
"smart_242_raw_min",204.170606403797
"smart_199_raw_max",192.732797336469
"smart_199_raw",179.349805957671
"smart_4_raw_min",175.245999333217
"smart_190_raw_min",172.020533972254
"smart_12_raw_min",169.227494074423
"Days_In_Service_kurt",142.120819443466
"smart_242_raw_mean",139.610606037484
"smart_4_raw_max",134.534962064388
"smart_199_raw_rms",134.362696734896
"smart_12_raw_max",130.716200409057
"smart_242_raw",123.481245708844
"smart_242_raw_rms",116.848275360703
"smart_199_raw_mean",115.232376505488
"smart_193_raw_max",107.91214973572
"smart_242_raw_max",107.055074787121
"smart_12_raw_mean",104.936910690305
"smart_193_raw",103.440299155532
"smart_7_raw",103.282433382936
"smart_193_raw_mean",91.15235688378
"smart_7_raw_min",86.5981843792199
"smart_4_raw_rms",81.4612267712373
"smart_199_raw_min",79.5305717214153
"smart_7_raw_rms",74.8470915559598
"smart_7_raw_max",74.5666668538821
"smart_7_raw_mean",72.7801159857622
"smart_193_raw_rms",64.1765702492888
"smart_12_raw",57.8258228000078
"smart_12_raw_rms",55.8305982674888
"smart_190_raw_max",55.1392862336465
"Command_Timeout_var",53.8541827528989
"smart_190_raw_rms",45.1160225202396
"smart_194_raw_mean",41.5567606985375
"smart_194_raw_max",36.5929470940551
"smart_4_raw",35.0010951683348
"smart_4_raw_mean",31.6295059170931
"smart_190_raw_mean",27.0687005995924
"smart_194_raw_rms",19.4646993023595
"smart_4_raw_var",11.4377909237685
"smart_240_raw_min",10.6328402793629
"Days_In_Service_norm_var",10.5285469858762
"smart_7_raw_var",7.96560196730761
"smart_12_raw_var",6.44320855519995
"smart_192_raw_var",6.33281239991362
"smart_241_raw_var",5.27744880548323
"smart_241_raw_p2p",4.85582517277686
"smart_183_raw_mean",4.42832651088617
"smart_242_raw_var",4.13334553199377
"smart_242_raw_kurt",3.98050146643592
"smart_183_raw_max",3.2390694358754
"smart_242_raw_p2p",2.64310862518355
"smart_194_raw",2.54536549687974
"smart_195_raw_min",2.21850971114254
"smart_240_raw_max",2.18558133471424
"smart_1_raw_max",1.77889796100396
"Current_Pending_Sector_Count_max",1.72705594494534
"smart_241_raw_kurt",1.70130387540494
"smart_193_raw_var",1.68994494817466
"smart_190_raw",1.63687066856455
"Reported_Uncorrectable_Errors_max",1.58781380851714
"smart_195_raw_max",1.55486665736258
"Reported_Uncorrectable_Errors_var",1.46013751063115
"Offline_Uncorrectable",1.38980962316575
"smart_190_raw_var",1.20281932621117
"smart_1_raw_min",1.13572735166945
"Reported_Uncorrectable_Errors_rms",1.10784265256551
"Offline_Uncorrectable_rms",1.08493262896138
"smart_194_raw_var",0.999146710618331
"smart_7_raw_p2p",0.938918669198424
"smart_183_raw_rms",0.938532455010675
"smart_183_raw_min",0.845444892530347
"Reported_Uncorrectable_Errors_norm_mean",0.804455353971896
"Offline_Uncorrectable_mean",0.747981523393869
"Reported_Uncorrectable_Errors_norm_min",0.709503766188146
"Offline_Uncorrectable_max",0.70209049523785
"smart_194_raw_p2p",0.690171909272386
"smart_240_raw_var",0.620567145374151
"Current_Pending_Sector_Count_mean",0.602570674549563
"Reported_Uncorrectable_Errors_norm",0.528687584648964
"Reported_Uncorrectable_Errors_min",0.527961613828432
"Reported_Uncorrectable_Errors_norm_rms",0.513775621545767
"smart_183_raw",0.505222258357915
"smart_190_raw_p2p",0.483209047451878
"smart_190_raw_skew",0.48199863387989
"Reported_Uncorrectable_Errors_mean",0.460382630970114
"Current_Pending_Sector_Count_min",0.455336910059454
"Current_Pending_Sector_Count",0.445395958332109
"Reported_Uncorrectable_Errors",0.430725803170551
"smart_240_raw_mean",0.39918252782322
"Days_In_Service_norm_p2p",0.373436907649366
"smart_240_raw_rms",0.372811889060844
"Offline_Uncorrectable_var",0.360506758587663
"smart_194_raw_skew",0.350967391739542
"smart_189_raw_var",0.295412181951596
"smart_1_raw_kurt",0.289113929490403
"smart_195_raw_p2p",0.267238791030337
"Current_Pending_Sector_Count_rms",0.261890589330105
"Offline_Uncorrectable_min",0.254396460458337
"smart_1_raw_var",0.247830853957942
"smart_240_raw_kurt",0.241796502905496
"Days_In_Service_var",0.240570297214102
"smart_190_raw_kurt",0.23950001475791
"smart_195_raw_var",0.233876641855871
"smart_240_raw_skew",0.233874843155819
"smart_1_raw_p2p",0.226671279798936
"smart_1_raw_mean",0.18886552096994
"smart_195_raw_rms",0.187332511001012
"Current_Pending_Sector_Count_var",0.180439919286221
"smart_195_raw_skew",0.157599898891119
"smart_240_raw_p2p",0.152683609167854
"smart_194_raw_kurt",0.136738599703368
"smart_1_raw_rms",0.13335135795694
"smart_241_raw_skew",0.130353784230929
"smart_1_raw_skew",0.12553299453581
"smart_195_raw_mean",0.103215557022834
"smart_195_raw_kurt",0.100950231067256
"Current_Pending_Sector_Count_skew",0.0984308081508336
"smart_7_raw_skew",0.0907108889378465
"Reported_Uncorrectable_Errors_norm_p2p",0.0830645769551239
"smart_12_raw_p2p",0.0696186250276801
"Reported_Uncorrectable_Errors_p2p",0.0635045760605197
"smart_242_raw_skew",0.0508562304515895
"smart_4_raw_p2p",0.0491852505289211
"Command_Timeout_p2p",0.0465150809708288
"Reported_Uncorrectable_Errors_norm_var",0.0464507245945734
"Offline_Uncorrectable_norm_var",0.0455205460523027
"Current_Pending_Sector_Count_kurt",0.0403753390203669
"Current_Pending_Sector_Count_norm_var",0.0373578944786951
"Reallocated_Sector_Count_max",0.0334058318625695
"smart_7_raw_kurt",0.0319964758548144
"Offline_Uncorrectable_p2p",0.0290688254443895
"Reallocated_Sector_Count_var",0.0270163428633261
"Current_Pending_Sector_Count_p2p",0.0254894907648341
"Reallocated_Sector_Count_mean",0.0239794235676699
"Current_Pending_Sector_Count_norm_min",0.0190003490064818
"Current_Pending_Sector_Count_norm",0.0189362763075792
"Offline_Uncorrectable_norm_p2p",0.0187162871246599
"Reported_Uncorrectable_Errors_norm_skew",0.0163388755973472
"Reported_Uncorrectable_Errors_norm_kurt",0.0155971901515056
"Offline_Uncorrectable_norm_min",0.015293704541579
"smart_12_raw_skew",0.0124369141485161
"Current_Pending_Sector_Count_norm_rms",0.0118885800013022
"smart_4_raw_skew",0.011331160436402
"smart_189_raw_p2p",0.00969153066756778
"smart_193_raw_p2p",0.00907840410693144
"Days_In_Service_norm_kurt",0.00874481866344254
"Offline_Uncorrectable_kurt",0.00646607530832437
"smart_1_raw",0.00606677614083679
"Days_In_Service_norm_skew",0.0059839063695982
"Reallocated_Sector_Count",0.00591996305257769
"Reallocated_Sector_Count_norm_mean",0.00544431712246567
"smart_240_raw",0.00503400208089637
"Reallocated_Sector_Count_norm_skew",0.00486586361023011
"Reallocated_Sector_Count_rms",0.0040771847867811
"Reallocated_Sector_Count_norm_max",0.00399265675507081
"Current_Pending_Sector_Count_norm_p2p",0.00396797002144513
"Reported_Uncorrectable_Errors_norm_max",0.00384084082761724
"smart_193_raw_skew",0.00376108597025926
"Offline_Uncorrectable_skew",0.003133394037736
"smart_195_raw",0.00308384707370717
"Current_Pending_Sector_Count_norm_mean",0.0025889677038645
"Reallocated_Sector_Count_p2p",0.00231139052619724
"smart_192_raw_skew",0.00205652678244714
"smart_199_raw_var",0.0018592653619125
"Reallocated_Sector_Count_min",0.00157219018598447
"Offline_Uncorrectable_norm_mean",0.00155688401263205
"Reallocated_Sector_Count_norm",0.00107138246212735
"smart_193_raw_kurt",0.00104729531395016
"Reallocated_Sector_Count_norm_min",0.000848507628912287
"smart_192_raw_p2p",0.00015375488379874
"Reallocated_Sector_Count_kurt",0.000135525937587389
"Offline_Uncorrectable_norm",5.32907051820075e-16
"Command_Timeout_kurt",5.32907051820075e-16
"Command_Timeout_skew",5.32907051820075e-16
"Reallocated_Sector_Count_norm_var",3.5527136788005e-16
"smart_189_raw_skew",1.77635683940025e-16
"Reallocated_Sector_Count_norm_rms",1.77635683940025e-16
"Reallocated_Sector_Count_norm_p2p",1.77635683940025e-16
"Reallocated_Sector_Count_norm_kurt",0
"smart_183_raw_kurt",-1.77635683940025e-16
"smart_183_raw_var",-1.77635683940025e-16
"smart_189_raw_kurt",-1.77635683940025e-16
"smart_199_raw_p2p",-1.77635683940025e-16
"smart_199_raw_kurt",-1.77635683940025e-16
"smart_199_raw_skew",-1.77635683940025e-16
"Reported_Uncorrectable_Errors_kurt",-1.77635683940025e-16
"Reallocated_Sector_Count_skew",-3.5527136788005e-16
"smart_183_raw_skew",-5.32907051820075e-16
"smart_183_raw_p2p",-8.88178419700125e-16
"Offline_Uncorrectable_norm_skew",-1.06581410364015e-15
"smart_192_raw_kurt",-1.24344978758018e-15
"Offline_Uncorrectable_norm_rms",-1.4210854715202e-15
"Offline_Uncorrectable_norm_max",-1.4210854715202e-15
"Offline_Uncorrectable_norm_kurt",-1.4210854715202e-15
"Current_Pending_Sector_Count_norm_max",-2.30926389122033e-15
"Current_Pending_Sector_Count_norm_kurt",-2.30926389122033e-15
"Current_Pending_Sector_Count_norm_skew",-2.30926389122033e-15
