"","vimp.df.order..vimp.df...."
"smart_240_raw_var",3751.46739882245
"Reallocated_Sector_Count",1264.79014466635
"Reallocated_Sector_Count_max",1166.85374524363
"smart_240_raw_mean",1099.03209955415
"smart_192_raw",1085.04513928499
"smart_192_raw_max",1055.2437981379
"smart_192_raw_mean",989.917080863001
"Reallocated_Sector_Count_rms",989.74423515348
"Reallocated_Sector_Count_mean",872.383392667786
"smart_240_raw_max",824.327113138026
"smart_240_raw_rms",810.095452986806
"smart_12_raw_mean",800.534461797778
"smart_192_raw_rms",717.245177444199
"smart_240_raw_min",704.311998099848
"smart_12_raw_min",669.531981344722
"smart_193_raw",587.329704707511
"smart_193_raw_rms",583.796173763867
"smart_192_raw_min",568.387313771025
"smart_4_raw_min",562.29934688585
"smart_193_raw_max",520.270280792237
"smart_240_raw",460.626986693209
"Reallocated_Sector_Count_var",459.140460159277
"smart_193_raw_mean",446.505449499243
"smart_191_raw_rms",435.432691443562
"Reallocated_Sector_Count_min",364.120070407612
"smart_191_raw_max",361.360525089274
"smart_191_raw",355.677697208137
"smart_191_raw_mean",354.640726685207
"smart_193_raw_min",353.218221457691
"smart_191_raw_min",326.459859835185
"smart_194_raw_max",325.892290324677
"smart_190_raw_min",314.291733410401
"smart_194_raw_min",310.484499894888
"smart_4_raw_mean",291.928335255407
"smart_242_raw_mean",265.727423004655
"smart_190_raw_max",261.249265177489
"smart_4_raw_rms",260.92546186885
"smart_12_raw",260.272373263609
"smart_242_raw_min",260.207010509866
"smart_12_raw_rms",257.33471324149
"smart_242_raw_rms",244.488827359053
"smart_242_raw_max",228.434645903872
"smart_4_raw_max",228.389482015734
"smart_12_raw_max",223.039790961092
"Days_In_Service_norm_min",218.858118760968
"Days_In_Service_norm_max",218.131442268497
"smart_241_raw_mean",213.585044908484
"smart_241_raw",210.928083431925
"smart_241_raw_max",193.046290326518
"smart_191_raw_var",191.296575922755
"smart_4_raw",190.722531479407
"smart_242_raw",188.665950727583
"Days_In_Service_min",184.32570792312
"smart_190_raw_mean",177.303436402214
"smart_241_raw_rms",176.889247575103
"smart_241_raw_min",174.650514564944
"smart_190_raw_rms",172.955959586043
"smart_4_raw_var",170.867052637387
"smart_7_raw_min",170.595877080535
"smart_190_raw",168.760255166479
"Days_In_Service_rms",165.671235806966
"smart_194_raw_mean",165.557595069044
"Days_In_Service_max",159.957187219058
"smart_7_raw",154.265749523049
"smart_194_raw",151.349546895601
"smart_7_raw_rms",146.956628906957
"smart_7_raw_max",145.964478756627
"Days_In_Service_mean",139.567597682945
"Days_In_Service_norm",139.520592889296
"Days_In_Service",136.24058808399
"smart_194_raw_rms",135.649974081425
"smart_7_raw_mean",134.906017147372
"Days_In_Service_norm_rms",128.853939803358
"smart_191_raw_p2p",121.263732109721
"Days_In_Service_norm_mean",101.607339880099
"Reallocated_Sector_Count_p2p",58.9674564851975
"smart_7_raw_var",56.5052314293197
"smart_7_raw_p2p",55.5775663845484
"smart_193_raw_var",41.1612953803069
"Reported_Uncorrectable_Errors_max",38.7180784342496
"Offline_Uncorrectable_var",32.861677759967
"Reported_Uncorrectable_Errors_norm",31.597635857846
"Days_In_Service_var",29.0096243083483
"Current_Pending_Sector_Count_var",26.6653721796893
"Reported_Uncorrectable_Errors_norm_min",26.6147290631357
"Reported_Uncorrectable_Errors_norm_rms",26.4123650604711
"smart_193_raw_p2p",25.9079364453365
"Command_Timeout_max",25.2264599453199
"Reported_Uncorrectable_Errors",24.4899680377237
"Current_Pending_Sector_Count_max",21.4128128337509
"smart_242_raw_var",20.0392076465475
"Reported_Uncorrectable_Errors_norm_mean",19.7503348727992
"Offline_Uncorrectable_max",19.7341616101903
"Command_Timeout",19.4277444320949
"Reported_Uncorrectable_Errors_mean",18.8574709957702
"Reported_Uncorrectable_Errors_rms",17.0837448388777
"smart_12_raw_var",16.2291366295285
"Reported_Uncorrectable_Errors_var",16.1039452098029
"smart_241_raw_var",16.0001285256547
"Current_Pending_Sector_Count_mean",15.4898495333793
"Offline_Uncorrectable_mean",15.2793042369672
"Offline_Uncorrectable",14.7955484480101
"Command_Timeout_rms",14.6532175650352
"Offline_Uncorrectable_rms",13.7345928824913
"smart_199_raw_var",13.4132631632455
"Command_Timeout_mean",12.0817332279706
"smart_199_raw",11.7799316682544
"smart_199_raw_min",10.612400421571
"Current_Pending_Sector_Count_rms",10.2367152450336
"Command_Timeout_var",9.10118559844683
"smart_192_raw_var",9.01202693633408
"Reported_Uncorrectable_Errors_norm_max",8.96297857068737
"Reallocated_Sector_Count_skew",8.73040472459266
"Current_Pending_Sector_Count",8.65541821812421
"smart_194_raw_p2p",8.55061158147639
"smart_190_raw_p2p",7.86825578794023
"smart_242_raw_p2p",7.70196284652125
"smart_241_raw_p2p",7.39196277570089
"Reported_Uncorrectable_Errors_min",7.30052789698285
"Current_Pending_Sector_Count_min",6.72693957516323
"smart_194_raw_var",6.37247055495541
"smart_190_raw_var",6.2477017924051
"smart_195_raw_max",6.17024832941365
"smart_1_raw_max",6.04357567953711
"smart_1_raw_min",6.02161381132248
